date,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
8/12/2019 0:00,411,73,38425
8/19/2019 0:00,530,73,37607
8/26/2019 0:00,609,73,38200
9/2/2019 0:00,690,70,38097
9/9/2019 0:00,688,73,38206
9/16/2019 0:00,616,70,36991
9/23/2019 0:00,699,70,36441
9/30/2019 0:00,937,100,47411
10/7/2019 0:00,862,96,45565
10/14/2019 0:00,947,96,42994
10/21/2019 0:00,1066,95,45349
10/28/2019 0:00,1209,97,45624
11/4/2019 0:00,1603,98,47714
11/11/2019 0:00,1724,97,47170
11/18/2019 0:00,2332,94,50024
11/25/2019 0:00,2048,98,43538
12/2/2019 0:00,2441,96,48312
12/9/2019 0:00,2728,97,48829
12/16/2019 0:00,3401,99,48311
12/23/2019 0:00,4240,99,48587
12/30/2019 0:00,3573,98,49225
1/6/2020 0:00,2504,98,46629
1/13/2020 0:00,2657,96,47097
1/20/2020 0:00,3140,97,47132
1/27/2020 0:00,4688,99,51932
2/3/2020 0:00,4785,100,52155
2/10/2020 0:00,3750,100,49734
2/17/2020 0:00,1075,38,11046
2/24/2020 0:00,2849,100,47151
3/2/2020 0:00,3090,97,48850
3/9/2020 0:00,2968,97,48611
3/16/2020 0:00,2427,94,36519
3/23/2020 0:00,1319,93,28383
3/30/2020 0:00,772,93,23835
4/6/2020 0:00,532,92,23085
4/13/2020 0:00,460,92,22248
4/20/2020 0:00,346,92,23374
4/27/2020 0:00,313,89,24882
5/4/2020 0:00,291,89,27698
5/11/2020 0:00,323,91,29246
5/18/2020 0:00,322,93,31148
5/25/2020 0:00,276,92,31218
6/1/2020 0:00,296,93,33624
6/8/2020 0:00,309,92,34752
6/15/2020 0:00,355,92,36971
6/22/2020 0:00,393,92,36679
6/29/2020 0:00,485,92,36512
7/6/2020 0:00,654,92,40598
7/13/2020 0:00,614,92,38604
7/20/2020 0:00,470,92,38320
7/27/2020 0:00,435,92,37704
8/3/2020 0:00,377,92,37639
8/10/2020 0:00,343,92,36973
8/17/2020 0:00,338,92,35990
8/24/2020 0:00,336,92,35937
8/31/2020 0:00,372,92,35555
9/7/2020 0:00,366,92,36814
9/14/2020 0:00,359,91,36375
9/21/2020 0:00,397,92,37494
9/28/2020 0:00,408,91,36715
10/5/2020 0:00,435,91,38412
10/12/2020 0:00,464,91,38150
10/19/2020 0:00,500,91,38507
10/26/2020 0:00,404,91,36736
11/2/2020 0:00,535,91,39776
11/9/2020 0:00,507,91,43081
11/16/2020 0:00,573,90,41886
11/23/2020 0:00,515,88,36538
11/30/2020 0:00,603,90,41824
12/7/2020 0:00,638,90,41756
12/14/2020 0:00,592,89,40367
12/21/2020 0:00,532,89,34707
12/28/2020 0:00,664,90,40155
1/4/2021 0:00,616,90,41444
1/11/2021 0:00,502,90,38413
1/18/2021 0:00,438,90,39263
1/25/2021 0:00,515,88,39176
2/1/2021 0:00,521,90,37936
2/8/2021 0:00,482,90,37816
2/15/2021 0:00,320,88,33746
2/22/2021 0:00,391,90,38863
3/1/2021 0:00,341,90,36968
3/8/2021 0:00,373,89,37607
3/15/2021 0:00,352,90,36003
3/22/2021 0:00,382,89,37772
3/29/2021 0:00,326,89,37704
4/5/2021 0:00,439,89,40234
4/12/2021 0:00,464,88,40445
4/19/2021 0:00,534,90,41735
4/26/2021 0:00,612,90,42855
5/3/2021 0:00,673,90,41879
5/10/2021 0:00,692,90,41648
5/17/2021 0:00,640,89,42263
5/24/2021 0:00,587,90,40282
5/31/2021 0:00,540,90,38479
6/7/2021 0:00,498,90,38995
6/14/2021 0:00,412,89,39497
6/21/2021 0:00,432,89,38651
6/28/2021 0:00,452,89,38372
7/5/2021 0:00,460,89,39333
7/12/2021 0:00,555,89,40071
7/19/2021 0:00,694,89,42274
7/26/2021 0:00,778,89,46655
8/2/2021 0:00,917,89,47040
8/9/2021 0:00,928,88,48734
8/16/2021 0:00,1058,89,48899
8/23/2021 0:00,1324,88,50108
8/30/2021 0:00,1112,89,46544
9/6/2021 0:00,967,89,44859
9/13/2021 0:00,704,89,42562
9/20/2021 0:00,659,88,40416
9/27/2021 0:00,699,89,40584
10/4/2021 0:00,761,101,46932
10/11/2021 0:00,743,103,47905
10/18/2021 0:00,772,104,47363
10/25/2021 0:00,767,92,44260
11/1/2021 0:00,856,95,45544
11/8/2021 0:00,985,93,43142
11/15/2021 0:00,1184,97,47816
11/22/2021 0:00,1011,90,39794
11/29/2021 0:00,1321,105,53969
12/6/2021 0:00,1518,105,51786
12/13/2021 0:00,1671,105,51508
12/20/2021 0:00,2033,104,51069
12/27/2021 0:00,3445,106,63151
1/3/2022 0:00,2709,102,60230
1/10/2022 0:00,2410,103,58757
1/17/2022 0:00,1795,105,52579
1/24/2022 0:00,1213,103,48336
1/31/2022 0:00,756,96,37770
2/7/2022 0:00,684,102,44353
2/14/2022 0:00,706,105,44791
2/21/2022 0:00,646,104,45174
2/28/2022 0:00,610,103,43517
3/7/2022 0:00,656,105,44023
3/14/2022 0:00,606,104,44617
3/21/2022 0:00,644,103,43203
3/28/2022 0:00,572,101,44634
4/4/2022 0:00,541,100,45039
4/11/2022 0:00,646,104,45016
4/18/2022 0:00,707,104,45644
4/25/2022 0:00,704,104,47929
5/2/2022 0:00,739,104,47983
5/9/2022 0:00,762,105,48734
5/16/2022 0:00,703,105,49411
5/23/2022 0:00,719,105,48532
5/30/2022 0:00,642,93,46016
6/6/2022 0:00,650,104,49729
6/13/2022 0:00,704,107,50288
6/20/2022 0:00,743,105,49426
6/27/2022 0:00,795,106,49773
7/4/2022 0:00,876,105,50957
7/11/2022 0:00,861,100,48494
7/18/2022 0:00,789,102,53661
7/25/2022 0:00,827,102,54278
8/1/2022 0:00,774,104,55378
8/8/2022 0:00,790,102,52896
8/15/2022 0:00,979,104,57855
8/22/2022 0:00,1277,104,57621
8/29/2022 0:00,1207,104,58664
9/5/2022 0:00,1139,104,55905
9/12/2022 0:00,1055,106,58906
9/19/2022 0:00,1142,106,58772
9/26/2022 0:00,1302,96,54617
10/3/2022 0:00,1436,105,47154
10/10/2022 0:00,2324,108,56751
10/17/2022 0:00,2831,105,52144
10/24/2022 0:00,5912,107,57545
10/31/2022 0:00,6688,106,57949
11/7/2022 0:00,4298,108,50267
11/14/2022 0:00,3369,108,48523
11/21/2022 0:00,3400,104,45432
11/28/2022 0:00,3240,108,52370
12/5/2022 0:00,2343,107,50380
12/12/2022 0:00,1902,107,45670
12/19/2022 0:00,1707,104,42850
12/26/2022 0:00,1946,105,46092
1/2/2023 0:00,1681,103,49168
1/9/2023 0:00,1250,106,47240
1/16/2023 0:00,1147,103,47062
1/23/2023 0:00,1334,101,45606
1/30/2023 0:00,1335,106,48572
2/6/2023 0:00,1350,106,50001
2/13/2023 0:00,1253,107,48652
2/20/2023 0:00,1128,105,48593
2/27/2023 0:00,841,105,42839
3/6/2023 0:00,891,105,47307
3/13/2023 0:00,873,105,46015
3/20/2023 0:00,894,104,47339
3/27/2023 0:00,783,106,46594
4/3/2023 0:00,706,106,46718
4/10/2023 0:00,750,104,46751
4/17/2023 0:00,770,104,47445
4/24/2023 0:00,795,104,47776
5/1/2023 0:00,789,104,44445
5/8/2023 0:00,744,104,45848
5/15/2023 0:00,736,104,47486
5/22/2023 0:00,622,103,43221
5/29/2023 0:00,684,105,45086
6/5/2023 0:00,573,105,45589
6/12/2023 0:00,551,104,45068
6/19/2023 0:00,412,100,43557
6/26/2023 0:00,411,103,46214
7/3/2023 0:00,424,103,44363
7/10/2023 0:00,489,104,47040
7/17/2023 0:00,459,105,46721
7/24/2023 0:00,509,103,45056
7/31/2023 0:00,566,103,47010
8/7/2023 0:00,730,103,47368
8/14/2023 0:00,1059,106,52444
8/21/2023 0:00,1588,105,55119
8/28/2023 0:00,1531,105,52456
9/4/2023 0:00,1342,104,50273
9/11/2023 0:00,1097,104,44698
9/18/2023 0:00,1023,106,44546
9/25/2023 0:00,1006,105,44243
10/2/2023 0:00,1024,106,42917
10/9/2023 0:00,1045,108,42336
10/16/2023 0:00,1121,101,39987
10/23/2023 0:00,1368,108,43194
10/30/2023 0:00,1517,106,41538
11/6/2023 0:00,2231,107,45195
11/13/2023 0:00,2481,108,46547
11/20/2023 0:00,2043,105,39735
11/27/2023 0:00,2311,106,44750
12/4/2023 0:00,2913,107,45648
12/11/2023 0:00,3951,108,46523
12/18/2023 0:00,4669,107,47505
12/25/2023 0:00,4568,106,45183
1/1/2024 0:00,3557,106,43781
1/8/2024 0:00,2529,108,41272
1/15/2024 0:00,1908,101,35950
1/22/2024 0:00,1987,107,42397
1/29/2024 0:00,1880,108,42624
2/5/2024 0:00,2072,108,44169
2/12/2024 0:00,1776,107,41194
2/19/2024 0:00,1676,108,42241
2/26/2024 0:00,1568,106,41670
3/4/2024 0:00,1318,108,41727
3/11/2024 0:00,1164,108,41068
3/18/2024 0:00,1144,108,41092
3/25/2024 0:00,1018,108,39837
4/1/2024 0:00,1047,107,41818
4/8/2024 0:00,948,107,40919
4/15/2024 0:00,861,106,42606
4/22/2024 0:00,830,106,42270
4/29/2024 0:00,871,108,42531
5/6/2024 0:00,770,107,41337
5/13/2024 0:00,675,107,39237
5/20/2024 0:00,725,106,40991
5/27/2024 0:00,619,107,40678
6/3/2024 0:00,531,101,41114
6/10/2024 0:00,536,101,39743
6/17/2024 0:00,477,101,39747
6/24/2024 0:00,463,101,39920
7/1/2024 0:00,440,104,37772
7/8/2024 0:00,510,105,40958
7/15/2024 0:00,593,101,38919
7/22/2024 0:00,556,101,38835
7/29/2024 0:00,652,101,41233
8/5/2024 0:00,874,105,43349
8/12/2024 0:00,1001,103,45840
